id,parola_target,parola_vietata1,parola_vietata2,parola_vietata3,parola_vietata4,parola_vietata5
1,INFLUENCER,SOCIAL,INSTAGRAM,FOLLOWER,CONTENT,FAMOUS
2,CRUSH,INFATUATION,LOVE,SECRET,IN LOVE,FEELING
3,SPOIL,ANTICIPATE,ENDING,MOVIE,SERIES,REVEAL
4,FLASH,REMEMBER,SUDDEN,MOMENT,LIGHTNING,MIND
5,HASSLE,FATIGUE,PROBLEMS,EFFORT,WORK,BOREDOM
6,GAMING,VIDEOGAMES,CONSOLE,PLAY,PLAYSTATION,COMPUTER
7,MEME,INTERNET,IMAGE,LAUGH,VIRAL,JOKE
8,GHOST,DISAPPEAR,RESPOND,MESSAGES,IGNORE,CHAT
9,CRINGE,EMBARRASSMENT,SHAME,DISCOMFORT,BAD,ANNOYANCE
10,FLEX,BOAST,SHOW,FLAUNT,WEALTH,EXHIBIT
11,SKIP,JUMP,AVOID,PASS,LESSON,SCHOOL
12,BOOMER,OLD,GENERATION,ELDERLY,OUTDATED,TRADITIONAL
13,CATCH,DISCOVER,SECRET,CAPTURE,SEE,SURPRISE
14,TRIGGER,IRRITATE,PROVOKE,REACTION,UNLEASH,NERVOUS
15,TACKY,EXCESS,BAD,TASTE,EXAGGERATED,GAUDY
16,STORYTELLING,TELL,STORY,NARRATION,CONTENT,MARKETING
17,HYPE,EXPECTATION,WAIT,ENTHUSIASM,PUBLICITY,RELEASE
18,SWAG,STYLE,FASHION,ATTITUDE,COOL,DRESS
19,SALTY,ANGRY,GAME,LOSE,BITTER,FRUSTRATED
20,DRAMA,FIGHT,CONTROVERSY,CONFLICT,DISCUSSION,SCENE
21,FRIENDZONE,FRIENDSHIP,LOVE,REJECTED,BOUNDARY,ZONE
22,FREAK OUT,GET ANGRY,NERVOUS,GO CRAZY,LOSE,CONTROL
23,ROCK,SUCCESS,STRONG,IMPRESS,POWERFUL,RESULT
24,TOXIC,NEGATIVE,DANGEROUS,HARMFUL,RELATIONSHIP,PERSON
25,SPOOFING,FAKE,PHONE,IDENTITY,SCAM,NUMBER
26,MOOD,HUMOR,FEELING,ATMOSPHERE,STATE,SPIRIT
27,BLOW UP,EXPLODE,ANGER,PATIENCE,LOSE,CONTROL
28,VIBES,SENSATION,ATMOSPHERE,ENERGY,FEELING,PERCEIVE
29,OUTFIT,DRESS,CLOTHING,FASHION,ENSEMBLE,LOOK
30,CRINGE MOMENT,SHAME,DISCOMFORT,EMBARRASSMENT,BAD,SCENE
31,PIZZA,MARGHERITA,NAPLES,CHEESE,OVEN,TOMATO
32,SMARTPHONE,PHONE,CALL,APP,SCREEN,TOUCH
33,SOCCER,BALL,TEAM,GOAL,FIELD,PLAYER
34,ICE CREAM,COLD,CONE,SUMMER,FLAVOR,CREAM
35,GYM,WORKOUT,WEIGHTS,FITNESS,MUSCLES,SWEAT
36,TRAIN,STATION,TRACK,JOURNEY,RAILS,CAR
37,CINEMA,MOVIE,SCREEN,TICKET,THEATER,PROJECTION
38,COFFEE,ESPRESSO,CUP,MORNING,BITTER,WAKE UP
39,UNIVERSITY,DEGREE,STUDENTS,EXAMS,PROFESSOR,FACULTY
40,MUSIC,SONGS,SOUND,LISTEN,MELODY,RHYTHM
41,VACATION,SUMMER,SEA,RELAX,TRIP,HOTEL
42,COMPUTER,KEYBOARD,MOUSE,SCREEN,INTERNET,PROGRAM
43,BICYCLE,PEDAL,WHEEL,CHAIN,HANDLEBAR,SPEED
44,MOUNTAIN,CLIMB,HEIGHT,SNOW,PEAK,HIKE
45,BOOK,PAGES,READ,AUTHOR,STORY,COVER
46,COOK,RECIPE,STOVE,INGREDIENTS,POT,CHEF
47,PHOTOGRAPHY,SHOOT,IMAGE,CAMERA,LENS,MEMORY
48,CAT,MEOW,FUR,PAWS,TAIL,ANIMAL
49,FRIENDSHIP,BOND,AFFECTION,TRUST,PERSON,RELATIONSHIP
50,SLEEP,BED,NIGHT,DREAM,REST,ALARM
51,TRAVEL,DESTINATION,SUITCASE,DEPARTURE,TOURIST,EXPLORE
52,BIRTHDAY,PARTY,GIFT,CAKE,CANDLES,WISHES
53,LOVE,FEELING,HEART,COUPLE,RELATIONSHIP,PASSION
54,WORK,OFFICE,CAREER,SALARY,EMPLOYMENT,COLLEAGUE
55,FAMILY,PARENTS,CHILDREN,HOME,BOND,RELATIVES
56,SUPERMARKET,SHOPPING,CART,PRODUCTS,CHECKOUT,FOOD
57,CAR,DRIVE,ROAD,STEERING WHEEL,ENGINE,TRIP
58,GARDEN,PLANTS,FLOWERS,GREEN,CULTIVATE,NATURE
59,SWIM,WATER,POOL,SEA,STROKE,WET
60,RESTAURANT,EAT,WAITER,MENU,TABLE,DINNER
61,AIRPLANE,FLY,PILOT,JOURNEY,SKY,LANDING
62,DOCTOR,HOSPITAL,HEALTH,CURE,ILLNESS,PATIENT
63,TIME,CLOCK,HOUR,MINUTES,PASS,WAIT
64,BEACH,SEA,SAND,SUMMER,UMBRELLA,SUN
65,PARK,NATURE,TREES,WALK,BENCH,GREEN
66,DANCE,DANCING,MUSIC,MOVEMENT,RHYTHM,CHOREOGRAPHY
67,HOUSE,DWELLING,ROOMS,LIVE,FAMILY,ROOF
68,PHONE,CALL,SPEAK,NUMBER,CELLPHONE,COMMUNICATE
69,DOG,BARK,PAWS,FAITHFUL,LEASH,PUPPY
70,ART,PAINTING,MUSEUM,ARTIST,WORK,CREATIVITY
71,SEA,WATER,BEACH,WAVES,SWIM,SALTY
72,SUN,HOT,LIGHT,SUMMER,RAYS,SKY
73,MOON,NIGHT,SKY,STAR,SATELLITE,PHASE
74,WINE,RED,WHITE,GRAPE,BOTTLE,ALCOHOL
75,MOVIE,CINEMA,ACTORS,DIRECTOR,PLOT,SCENE
76,RAIN,WATER,SKY,DROPS,UMBRELLA,STORM
