id,parola_target,parola_vietata1,parola_vietata2,parola_vietata3,parola_vietata4,parola_vietata5
1,INFLUENCER,SOSYAL,INSTAGRAM,TAKİPÇİ,İÇERİK,ÜNLÜ
2,AŞIK,HOŞLANMA,AŞK,GİZLİ,SEVGİLİ,DUYGU
3,SPOILER,AÇIKLAMAK,FİNAL,FİLM,DİZİ,İFŞA
4,AKLINA,HATIRLAMAK,ANİ,AN,ŞİMŞEK,ZİHİN
5,ÇABA,YORGUNLUK,SORUN,EFOR,İŞ,CAN SIKINTISI
6,OYUN,VİDEOOYUN,KONSOL,OYNAMAK,PLAYSTATION,BİLGİSAYAR
7,MEME,İNTERNET,RESİM,GÜLMEK,VİRAL,ŞAKA
8,GHOST,KAYBOLMAK,CEVAP,MESAJ,GÖRMEZDEN,SOHBET
9,CRİNGE,UTANÇ,REZALET,SIKINTI,KÖTÜ,RAHATSIZ
10,HAVA,ÖVÜNMEK,GÖSTERMEK,PAYLAMA,ZENGİNLİK,SERGİLEMEK
11,ASMAK,ATLAMAK,KAÇMAK,GEÇİVERMEK,DERS,OKUL
12,BOOMER,YAŞLI,NESİL,İHTİYAR,KÖHNE,GELENEKSEL
13,ÇAKMAK,KEŞFETMEK,SIR,YAKALAMAK,GÖRMEK,ŞAŞIRTMAK
14,TRIGGER,SİNİRLENDİRMEK,KIŞKIRTMAK,TEPKİ,ATEŞLEMEK,GERGIN
15,ABARTMAK,AŞIRILIK,KÖTÜ,ZEVKSİZ,FAZLA,KIRICI
16,HIKAYE,ANLATMAK,ÖYKÜ,ANLATIM,İÇERİK,PAZARLAMA
17,HYPE,BEKLENTİ,MERAK,HEYECAN,REKLAM,ÇIKIŞ
18,TARZ,STİL,MODA,TUTUM,HAVALI,GİYİNMEK
19,KIRGIN,SİNİRLİ,OYUN,KAYBETMEK,ÜZGÜN,KIRILGAN
20,DRAMA,KAVGA,POLEMİK,ÇATIŞMA,TARTIŞMA,SAHNE
21,ARKADAŞ,DOSTLUK,AŞK,REDDEDİLMİŞ,SINIR,BÖLGE
22,ÇILDIRMAK,SİNİRLENMEK,GERGIN,DELİRMEK,KAYBETMEK,KONTROL
23,PARÇALAMAK,BAŞARI,GÜÇLÜ,ETKİLEMEK,KUVVET,SONUÇ
24,ZEHİRLİ,NEGATİF,TEHLİKELİ,ZARARLI,İLİŞKİ,KİŞİ
25,SAHTE,NUMARA,TELEFON,KİMLİK,DOLANDIRICILIK,SAYI
26,MOOD,RUHHAL,HİS,ATMOSFER,DURUM,CAN
27,PATLAMAK,PATLAMA,ÖFKE,SABIR,KAYBETMEK,KONTROL
28,VİBES,HİSSİYAT,ATMOSFER,ENERJİ,HİS,ALGILAMAK
29,KOMBİN,GİYSİ,GİYİM,MODA,TAKIM,GÖRÜNÜM
30,UTANÇVERİCİ,REZALET,SIKINTI,UTANÇ,KÖTÜ,SAHNE
31,PİZZA,MARGHERİTA,NAPOLI,PEYNİR,FIRIN,DOMATES
32,AKILLI,TELEFON,ARAMAK,UYGULAMA,EKRAN,DOKUNMA
33,FUTBOL,TOP,TAKIM,GOL,SAHA,OYUNCU
34,DONDURMA,SOĞUK,KÜLAH,YAZ,TAT,KREMA
35,SPOR,ANTRENMAN,AĞIRLIK,FİTNESS,KAS,TER
36,TREN,İSTASYON,RAY,YOLCULUK,DEMİR,VAGON
37,SİNEMA,FİLM,PERDE,BİLET,SALON,GÖSTERİM
38,KAHVE,ESPRESSO,FİNCAN,SABAH,ACI,UYANMA
39,ÜNİVERSİTE,DİPLOMA,ÖĞRENCİ,SINAV,HOCA,FAKÜLTE
40,MÜZİK,ŞARKI,SES,DİNLEMEK,MELODİ,RİTİM
41,TATİL,YAZ,DENİZ,DİNLENME,SEYAHAT,OTEL
42,BİLGİSAYAR,KLAVYE,FARE,EKRAN,İNTERNET,PROGRAM
43,BİSİKLET,PEDAL,TEKER,ZİNCİR,GİDON,HIZ
44,DAĞ,TIRMANMAK,YÜKSEKLİK,KAR,ZIRVE,YÜRÜYÜŞ
45,KİTAP,SAYFA,OKUMAK,YAZAR,HİKAYE,KAPAK
46,PİŞİRMEK,TARIF,OCAK,MALZEME,TENCERE,ŞEF
47,FOTOĞRAF,ÇEKİM,GÖRÜNTÜ,KAMERA,MERCEK,ANIT
48,KEDİ,MİYAVLAMA,TÜY,PATI,KUYRUK,HAYVAN
49,ARKADAŞLIK,BAĞ,SEVGİ,GÜVEN,KİŞİ,İLİŞKİ
50,UYUMAK,YATAK,GECE,RÜYA,DİNLENME,UYANMAK
51,YOLCULUK,VARIŞYERI,BAVUL,KALKIŞ,TURİST,KEŞFETMEK
52,DOĞUMGÜNÜ,KUTLAMA,HEDİYE,PASTA,MUM,TEBRIK
53,AŞK,HİS,KALP,ÇİFT,İLİŞKİ,TUTKU
54,İŞ,OFİS,KARİYER,MAAŞ,İSTİHDAM,MESLEKTAŞ
55,AİLE,EBEVEYN,ÇOCUK,EV,BAĞ,AKRABA
56,MARKET,ALIŞVERİŞ,SEPET,ÜRÜN,KASA,YİYECEK
57,ARABA,SÜRMEK,YOL,DİREKSİYON,MOTOR,SEYAHAT
58,BAHÇE,BİTKİ,ÇİÇEK,YEŞİL,YETİŞTİRMEK,DOĞA
59,YÜZMEK,SU,HAVUZ,DENİZ,KULAK,ISLAK
60,RESTORAN,YEMEK,GARSON,MENÜ,MASA,AKŞAM
61,UÇAK,UÇMAK,PİLOT,SEYAHAT,GÖKYÜZÜ,İNİŞ
62,DOKTOR,HASTANE,SAĞLIK,TEDAVİ,HASTALIK,HASTA
63,ZAMAN,SAAT,VAKIT,DAKİKA,GEÇMEK,BEKLEME
64,PLAJ,DENİZ,KUM,YAZ,ŞEMSİYE,GÜNEŞ
65,PARK,DOĞA,AĞAÇ,YÜRÜYÜŞ,BANK,YEŞİL
66,DANS,OYNAMAK,MÜZİK,HAREKET,RİTİM,KOREOGRAFİ
67,EV,KONUT,ODA,YAŞAMAK,AİLE,ÇATI
68,TELEFON,ARAMAK,KONUŞMAK,NUMARA,CEP,İLETİŞİM
69,KÖPEK,HAVLAMA,PATI,SADAKATLİ,TASMA,YAVRU
70,SANAT,TABLO,MÜZE,SANATÇI,ESER,YARATICILIK
71,DENİZ,SU,PLAJ,DALGA,YÜZMEK,TUZLU
72,GÜNEŞ,SICAK,IŞIK,YAZ,IŞIN,GÖKYÜZÜ
73,AY,GECE,GÖKYÜZÜ,YILDIZ,UYDU,FAZ
74,ŞARAP,KIRMIZI,BEYAZ,ÜZÜM,ŞİŞE,ALKOL
75,FİLM,SİNEMA,OYUNCU,YÖNETMEN,KONU,SAHNE
76,YAĞMUR,SU,GÖKYÜZÜ,DAMLA,ŞEMSİYE,FIRTINA
77,BULUT,GÖKYÜZÜ,BEYAZ,HAVA,YAĞMUR,ŞEKİL
78,OKUL,ÖĞRETMEN,ÖĞRENCİ,DERS,ÖDEV,SINIF
79,TELEVİZYON,EKRAN,PROGRAM,İZLEMEK,KANAL,KUMANDA
80,KAR,SOĞUK,BEYAZ,KIŞ,TANELER,KAYMAK
81,ORMAN,AĞAÇ,YEŞİL,DOĞA,KORU,HAYVAN
82,ŞEHİR,BİNA,CADDE,TRAFİK,METRO,HALK
83,TİYATRO,GÖSTERI,SAHNE,OYUNCU,SEYIRCI,PERDE
84,PASTA,TATLI,DOĞUMGÜNÜ,FIRIN,DİLİM,ŞEKER
85,MAKYAJ,SÜSLEME,RUJ,FONDÖTEN,GÖZ,YÜZ
86,PARFÜM,KOKU,RAYİHA,PÜSKÜRTMEK,ESANS,ŞİŞE
87,GAZETE,HABER,OKUMAK,GÜNLÜK,MAKALE,BİLGİ
88,KONSER,MÜZİK,SAHNE,SANATÇI,İZLEYİCİ,ŞARKI
89,ÇİZGİ,ANİMASYON,ÇOCUK,RESİM,KARAKTER,DİSNEY
90,DÜĞÜN,EVLEN,TÖREN,YÜZÜK,GELINLIK,KILISE
91,ŞEKER,TATLI,BEYAZ,KAHVE,ÇAY,KAŞIK
92,MAKARNA,İTALYAN,SPAGETTI,SOS,HAŞLAMAK,TABAK
93,SİGARA,İÇMEK,TÜTÜN,ÇAKMAK,FILTRE,NIKOTIN
94,KANEPE,OTURMAK,SALON,DİNLENME,YASTIK,RAHAT
95,AYAKKABI,AYAK,YÜRÜMEK,AYAKKABILAR,BAĞCIK,TABAN
96,MAKAS,KESMEK,KAĞIT,BIÇAK,METAL,UÇ
97,ANAHTAR,KAPI,KİLİT,AÇMAK,METAL,EV
98,GÖMLEK,GİYİM,DÜĞME,YAKA,ÜTÜLEMEK,KOL
99,SAAT,ZAMAN,VAKIT,BİLEK,AKREP,KADRAN
100,ŞİŞE,CAM,SIVI,SU,TAPA,DÖKMEK
101,GÖZLÜK,GÖRÜŞ,MERCEK,ÇERÇEVE,OKUMAK,GÖRMEK
102,MASA,SANDALYE,YEMEK,AHŞAP,MOBILYA,MUTFAK
103,PENCERE,CAM,MANZARA,IŞIK,AÇMAK,PERDE
104,KAPI,AÇMAK,KAPAMAK,ODA,KOL,GİRMEK
105,KÜPE,MÜCEVHER,KULAK,TAKMAK,PARLAK,SARKIK
106,ÇİKOLATA,TATLI,KAKAO,TABLET,BITTER,SÜT
107,SÜT,İNEK,BEYAZ,İÇMEK,KAHVALTI,KALSIYUM
108,TABANCA,SİLAH,ATEŞ,MERMI,TEHLİKE,TETİK
109,MOTOR,MOTOSİKLET,TEKER,KASK,HIZ,SÜRMEK
110,YÜZÜK,PARMAK,ALTIN,NİŞAN,MÜCEVHER,EVLILIK
111,AMPUL,IŞIK,AÇMAK,ELEKTRIK,AYDINLATMA,EDISON
112,KALEM,YAZMAK,ÇIZMEK,AHŞAP,UÇ,SİLGİ
113,YAPRAK,AĞAÇ,YEŞİL,BİTKİ,SONBAHAR,DÜŞMEK
114,GÜLÜMSEME,MUTLULUK,AĞIZ,DIŞ,NEŞE,DUDAK
115,ŞEMSİYE,YAĞMUR,AÇMAK,KORUNMAK,KATLAMAK,SAP
116,İĞNE,DİKİŞ,İPLİK,UÇ,İNCE,METAL
117,BURUN,YÜZ,KOKU,NEFES,HISSETMEK,KOKLAMA
118,PANTOLON,KOT,BACAK,GİYMEK,KEMER,GİYİM
119,ÖRDEK,KUŞ,SU,GÖLET,GAGA,VAK
120,GÖLGE,KARANLIK,IŞIK,SİLUET,GÜNEŞ,YANSIMA
121,BAYRAK,ULUS,RENK,SEMBOL,DALGALANMA,DIREK
122,FIRÇA,DIŞ,YIKAMAK,HIJYEN,AĞIZ,MACUN
123,KALEM,YAZMAK,MÜREKKEP,SAYFA,TÜKENMEZ,İMZA
124,SANDALYE,OTURMAK,AYAK,SIRT,MOBILYA,MASA
125,HAVALIMANI,UÇUŞ,KALKIŞ,VARIŞ,YOLCU,TERMINAL
126,BANKA,PARA,HESAP,VEZNE,MEMUR,KREDİ
127,YILDIZ,GÖKYÜZÜ,GECE,PARLAK,UZAY,NOKTA
128,KUAFÖR,SAÇ,KESIM,MAKAS,TARAK,ŞEKİL
129,OFİS,İŞ,MASA,BİLGİSAYAR,MESLEKTAŞ,TOPLANTI
130,YATAK,UYUMAK,ŞILTE,YASTIK,GECE,DİNLENME
131,İÇECEK,MEŞRUBAT,ŞİŞE,GAZLI,SUSUZLUK,SOĞUK
132,BİLET,TREN,ÖDEMEK,SEYAHAT,DOĞRULA,ULAŞIM
133,YASTIK,YATAK,YUMUŞAK,UYUMAK,DAYAMAK,BAŞ
134,CÜZDAN,PARA,CEP,KART,NAKİT,BELGE
135,MAKYAJ,YÜZ,SÜSLEME,RUJ,GÜZELLİK,KOZMETİK
136,DAVUL,BATERI,ÇALMAK,VURMA,RİTİM,ÇUBUK
137,TENİS,RAKET,TOP,KORT,AĞ,SPOR
138,TAKVİM,GÜN,AY,YIL,TARİH,RANDEVU
139,DİŞÇİ,DIŞ,KLİNİK,ÇÜRÜKÇİ,KONTROL,KORKU
140,SIRT,OMUZ,OKUL,SEYAHAT,ÇANTA,TAŞIMAK
141,ZÜRAFA,BOYUN,UZUN,AFRIKA,HAYVAN,LEKE
142,GEZEGEN,DÜNYA,UZAY,YÖRÜNGEsistemi,GÜNEŞ
143,HAVUZ,YÜZMEK,SU,YAZ,ATLAMA,CAN
144,ÇEKMECE,MOBILYA,AÇMAK,SAKLAMAK,ÇEKMEK,KAPAMAK
145,KAĞIT,SAYFA,YAZMAK,BEYAZ,DEFTER,YAZICI
146,ÇAMAŞIR,GİYSİ,YIKAMAK,KİR,DETERJAN,AYGIT
147,SÜPÜRGE,TEMİZLEMEK,ZEMİN,SAP,TOZ,SÜPÜRMEK
148,ELMAS,MÜCEVHER,PARLAK,DEĞERLI,YÜZÜK,KARAT
149,MERDİVEN,ÇIKMAK,İNMEK,BASAMAK,YÜKSEKLİK,DİKEY
150,MUM,BAL,ALEV,KARANLIK,IŞIK,KOKULU
151,KLAVYE,BİLGİSAYAR,YAZMAK,TUŞLAR,DİJİTAL,PARMAK
152,PALTO,KIŞ,SOĞUK,CEKET,DÜĞME,ÖRTMEK
153,HAVUÇ,SEBZE,TURUNCU,TAVŞAN,SEBZE,VİTAMİN
154,KRAVAT,GÖMLEK,BOYUN,ŞIK,DÜĞÜM,RESMİ
155,ÇİL,YÜZ,BENLER,GÜNEŞ,DERİ,KIRMIZI
156,TORNAVIDA,VİDA,ANAHTAR,ALET,UÇ,SAP
157,BUZDOLABI,SOĞUK,YİYECEK,MUTFAK,SAKLAMAK,AYGIT
158,TABLO,RESİM,ÇERÇEVE,DUVAR,SANAT,MÜZE
159,DÖVME,DERİ,RESİM,KALİCİ,İĞNE,MÜREKKEP
160,UZAY,EVREN,GEZEGEN,YILDIZ,BOŞ,ASTRONOMİ
161,MACUN,DIŞ,YIKAMAK,HAMUR,TÜP,FIRÇA
162,SALATALIK,SEBZE,SALATA,YEŞİL,UZUN,SEBZE
163,SMOOTHIE,İÇECEK,MEYVE,BLENDER,YOĞURT,MİKS
164,KELEBEKeböcek,UÇMAK,KANAT,RENKLİ,TIRTIL
165,MİKROFON,SES,ŞARKI,KONUŞMAK,SES,KAYIT
